Step #0.00 (0ms ?*RT. ?UPS, TraCI: 0ms, vehicles TOT 1 ACT 1 BUF 0)                       
Step #595.00 (2ms ~= 25.00*RT, ~90000.00UPS, TraCI: 7ms, vehicles TOT 934 ACT 180 BUF 1)  
Step #600.00 (3ms ~= 16.67*RT, ~59333.33UPS, TraCI: 6ms, vehicles TOT 934 ACT 178 BUF 1)  
Step #605.00 (2ms ~= 25.00*RT, ~86500.00UPS, TraCI: 8ms, vehicles TOT 934 ACT 173 BUF 1)  
Step #610.00 (3ms ~= 16.67*RT, ~57000.00UPS, TraCI: 7ms, vehicles TOT 934 ACT 171 BUF 1)  
Step #615.00 (2ms ~= 25.00*RT, ~83500.00UPS, TraCI: 7ms, vehicles TOT 934 ACT 167 BUF 1)  
Step #620.00 (2ms ~= 25.00*RT, ~83500.00UPS, TraCI: 7ms, vehicles TOT 934 ACT 167 BUF 1)  
Step #625.00 (3ms ~= 16.67*RT, ~54333.33UPS, TraCI: 6ms, vehicles TOT 934 ACT 163 BUF 1)  
Step #630.00 (2ms ~= 25.00*RT, ~80500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 161 BUF 1)  
Step #635.00 (2ms ~= 25.00*RT, ~79500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 159 BUF 1)  
Step #640.00 (3ms ~= 16.67*RT, ~53000.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 159 BUF 1)  
Step #645.00 (2ms ~= 25.00*RT, ~79500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 159 BUF 1)  
Step #650.00 (1ms ~= 50.00*RT, ~157000.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 157 BUF 1) 
Step #655.00 (2ms ~= 25.00*RT, ~78500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 157 BUF 1)  
Step #660.00 (2ms ~= 25.00*RT, ~77500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 155 BUF 1)  
Step #665.00 (2ms ~= 25.00*RT, ~77000.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 154 BUF 1)  
Step #670.00 (2ms ~= 25.00*RT, ~76000.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 152 BUF 1)  
Step #675.00 (2ms ~= 25.00*RT, ~76000.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 152 BUF 1)  
Step #680.00 (2ms ~= 25.00*RT, ~75000.00UPS, TraCI: 5ms, vehicles TOT 934 ACT 150 BUF 1)  
Step #685.00 (2ms ~= 25.00*RT, ~74500.00UPS, TraCI: 5ms, vehicles TOT 934 ACT 149 BUF 1)  
Step #690.00 (2ms ~= 25.00*RT, ~73500.00UPS, TraCI: 5ms, vehicles TOT 934 ACT 147 BUF 1)  
Step #695.00 (2ms ~= 25.00*RT, ~72500.00UPS, TraCI: 6ms, vehicles TOT 934 ACT 145 BUF 1)  
Step #700.00 (2ms ~= 25.00*RT, ~72000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 144 BUF 0)  
Step #705.00 (1ms ~= 50.00*RT, ~142000.00UPS, TraCI: 6ms, vehicles TOT 935 ACT 142 BUF 0) 
Step #710.00 (2ms ~= 25.00*RT, ~69000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 138 BUF 0)  
Step #715.00 (2ms ~= 25.00*RT, ~68500.00UPS, TraCI: 6ms, vehicles TOT 935 ACT 137 BUF 0)  
Step #720.00 (2ms ~= 25.00*RT, ~68000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 136 BUF 0)  
Step #725.00 (2ms ~= 25.00*RT, ~66000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 132 BUF 0)  
Step #730.00 (2ms ~= 25.00*RT, ~64000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 128 BUF 0)  
Step #735.00 (2ms ~= 25.00*RT, ~63500.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 127 BUF 0)  
Step #740.00 (1ms ~= 50.00*RT, ~124000.00UPS, TraCI: 5ms, vehicles TOT 935 ACT 124 BUF 0) 
